StudentID,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,Gender,PartTimeJob,ExtraCurricularActivities
135,20,25,63.86,3.74,Education,Male,Yes,No
136,21,17,95.52,2.95,Science,Male,Yes,Yes
137,19,13,52.26,3.07,Business,Male,No,Yes
138,20,20,55.47,2.36,Science,Male,No,Yes
139,22,25,69.58,2.62,Arts,Male,Yes,No
140,23,4,56.22,2.46,Engineering,Male,No,Yes
141,18,10,97.82,2.41,Engineering,Female,No,Yes
142,22,3,89.9,3.28,Engineering,Male,No,No
143,23,18,62.95,2.51,Science,Female,No,Yes
144,21,36,79.43,3.26,Science,Female,No,No
145,22,22,99.12,2.12,Engineering,Female,No,No
146,24,34,94.21,2.28,Science,Male,No,Yes
147,18,8,80.04,2.55,Education,Male,Yes,Yes
148,23,19,95.19,3.19,Education,Male,Yes,No
149,23,37,99.46,3.35,Science,Male,No,Yes
150,23,6,87.17,2.89,Engineering,Female,Yes,No
151,21,26,53.25,2.89,Science,Male,Yes,No
152,22,34,70.08,3.45,Science,Male,No,No
153,21,6,91.89,2.03,Science,Male,Yes,Yes
154,19,37,61.53,2.68,Arts,Male,No,No
155,19,33,91.53,3.64,Education,Male,No,Yes
156,22,22,56.02,3.21,Business,Female,No,Yes
157,24,21,52.35,2.67,Business,Male,Yes,Yes
158,21,6,69.2,3.81,Arts,Female,Yes,Yes
159,18,6,51.84,3.55,Science,Male,Yes,No
160,23,4,97.86,2.53,Arts,Female,Yes,Yes
161,23,30,91.31,3.29,Arts,Male,No,No
162,22,11,90.04,3.19,Engineering,Male,No,No
163,24,30,81.49,2.8,Education,Female,Yes,Yes
164,19,31,60.82,2.73,Business,Female,No,No
165,19,24,75.91,2.69,Science,Female,No,No
166,23,9,79.86,3.23,Business,Male,Yes,Yes
167,22,3,76.25,2.88,Business,Female,No,No
168,21,31,63.01,3.66,Education,Male,Yes,No
169,19,37,75.76,3.34,Business,Male,No,No
170,21,36,74.56,2.14,Business,Female,Yes,No
171,24,24,99.82,3.28,Arts,Female,No,Yes
172,19,31,94.87,2.54,Education,Male,No,No
173,19,6,73.17,3.19,Engineering,Male,Yes,No
174,20,2,81.15,3.36,Science,Female,Yes,No
175,19,20,87.39,2.46,Business,Female,Yes,No
176,18,28,51.74,2.91,Science,Female,Yes,Yes
177,22,11,94.75,2.38,Engineering,Male,No,No
178,22,4,93.01,2.1,Science,Male,No,Yes
179,21,15,72.87,2.76,Engineering,Male,Yes,No
180,24,6,69.56,2.73,Arts,Male,No,Yes
181,19,30,63.65,3.99,Business,Male,Yes,Yes
182,18,38,73.83,2.89,Engineering,Male,Yes,Yes
183,21,2,52.22,2.67,Science,Female,No,Yes
184,20,15,92.61,3.16,Business,Male,No,Yes
185,21,11,51.77,2.18,Arts,Male,Yes,No
186,21,8,66.45,3.92,Business,Male,Yes,No
187,19,26,96.58,3.27,Engineering,Female,Yes,No
188,20,5,86.76,3.51,Arts,Male,No,Yes
189,21,6,64.07,2.34,Science,Male,No,No
190,18,26,62.63,2.82,Arts,Female,No,Yes
191,18,4,50.25,2.85,Arts,Male,No,Yes
192,22,19,84.79,3.64,Education,Male,Yes,No
193,20,20,52.44,2.0,Arts,Male,Yes,No
194,20,33,76.63,2.6,Arts,Male,Yes,Yes
195,22,20,98.11,3.96,Business,Male,Yes,Yes
196,21,12,55.47,2.95,Science,Female,Yes,No
197,20,1,94.72,2.77,Business,Female,Yes,No
198,18,26,99.57,2.24,Business,Female,No,No
199,18,14,53.08,3.95,Engineering,Male,No,No
200,19,38,94.15,2.04,Business,Male,Yes,Yes
201,20,37,75.8,3.47,Education,Male,Yes,No
202,21,11,95.33,3.54,Education,Female,No,No
203,22,36,78.57,2.49,Engineering,Male,No,No
204,22,13,83.11,3.34,Science,Male,No,Yes
205,21,3,77.19,2.19,Science,Female,No,Yes
206,24,33,93.22,2.51,Business,Male,Yes,Yes
207,23,6,86.7,3.58,Business,Female,Yes,Yes
208,19,10,76.06,3.73,Business,Female,Yes,No
209,22,5,93.41,3.22,Science,Female,Yes,Yes
210,20,23,62.26,3.01,Arts,Male,Yes,No
211,19,10,57.87,2.32,Education,Male,No,No
212,20,2,58.02,2.13,Arts,Male,Yes,No
213,24,13,66.7,2.24,Arts,Male,No,No
214,18,2,61.93,2.45,Science,Male,Yes,Yes
215,19,20,96.5,2.68,Arts,Male,Yes,Yes
216,22,1,55.29,2.76,Engineering,Male,Yes,Yes
217,19,37,84.95,2.69,Business,Female,Yes,No
218,19,9,59.46,2.48,Engineering,Male,Yes,No
219,19,17,94.08,3.02,Education,Female,No,No
220,23,9,98.07,3.65,Business,Male,No,No
221,19,11,73.27,2.56,Arts,Male,No,No
222,20,15,93.95,3.88,Education,Male,Yes,Yes
223,18,24,50.26,3.75,Business,Female,Yes,No
224,24,38,91.0,2.32,Arts,Female,No,Yes
225,21,35,61.43,3.57,Engineering,Female,Yes,No
226,19,30,95.44,3.15,Business,Female,Yes,No
227,22,31,50.06,3.13,Arts,Male,No,Yes
228,19,5,77.81,2.78,Engineering,Female,Yes,Yes
229,22,14,87.83,3.0,Education,Male,No,No
230,20,11,62.93,2.79,Education,Male,Yes,No
231,22,9,59.66,3.08,Education,Female,No,No
232,21,34,54.2,3.26,Education,Female,Yes,No
233,18,12,66.32,3.35,Science,Female,Yes,Yes
234,22,35,77.99,3.06,Business,Female,No,No
235,22,35,55.79,3.44,Business,Female,Yes,Yes
236,18,1,68.83,2.28,Science,Female,Yes,No
237,21,22,50.45,2.42,Arts,Female,No,Yes
238,19,29,90.93,3.64,Arts,Female,Yes,Yes
239,22,8,56.42,2.65,Education,Male,No,No
240,18,11,64.17,2.05,Engineering,Female,Yes,Yes
241,20,37,50.92,2.31,Arts,Female,Yes,No
242,18,14,71.61,2.45,Engineering,Male,Yes,Yes
243,20,30,92.01,3.91,Business,Female,Yes,No
244,21,35,69.61,3.15,Engineering,Male,No,Yes
245,19,21,58.97,3.87,Business,Male,Yes,No
246,18,37,87.68,3.15,Science,Female,No,No
247,24,5,89.44,2.96,Science,Male,Yes,Yes
248,24,19,58.69,2.63,Education,Male,Yes,Yes
249,23,14,88.54,3.21,Arts,Male,Yes,Yes
250,22,26,97.36,2.28,Education,Male,Yes,Yes
251,21,4,58.32,3.8,Business,Female,No,No
252,18,25,88.55,3.66,Education,Male,No,Yes
253,24,25,85.43,2.64,Engineering,Female,No,No
254,22,18,73.68,3.91,Business,Male,No,Yes
255,24,8,52.9,3.65,Science,Male,Yes,No
256,18,39,53.73,3.33,Arts,Male,No,No
257,20,14,92.62,2.24,Business,Male,No,No
258,18,32,99.51,2.96,Business,Female,Yes,No
259,23,38,83.8,3.01,Engineering,Female,Yes,Yes
260,18,33,72.3,2.47,Arts,Male,Yes,Yes
261,18,23,82.38,2.16,Science,Male,Yes,No
262,23,15,79.72,3.55,Business,Female,No,Yes
263,21,33,69.18,2.24,Business,Male,No,Yes
264,18,25,53.28,3.19,Engineering,Male,Yes,No
265,23,17,91.08,3.87,Education,Male,Yes,Yes
266,22,33,68.59,3.75,Science,Female,Yes,Yes
267,20,2,90.94,2.56,Arts,Female,No,Yes
268,20,14,62.63,3.7,Business,Female,No,No
269,18,39,50.05,2.0,Business,Male,Yes,Yes
270,21,6,57.95,2.04,Science,Male,Yes,No
271,21,6,73.43,3.21,Education,Female,No,Yes
272,22,3,97.22,2.73,Business,Female,Yes,Yes
273,18,7,55.11,2.77,Science,Female,Yes,Yes
274,20,8,92.71,3.13,Engineering,Female,No,No
275,21,15,76.35,2.38,Education,Male,Yes,No
276,18,29,91.3,2.42,Arts,Female,No,Yes
277,24,33,64.92,2.97,Business,Male,Yes,No
278,21,30,92.0,3.51,Science,Female,Yes,Yes
279,23,39,88.64,3.24,Engineering,Male,No,No
280,24,27,61.5,2.59,Arts,Female,No,No
281,21,36,56.57,2.86,Science,Female,Yes,Yes
282,20,29,93.4,2.34,Science,Female,No,Yes
283,19,38,98.16,2.15,Arts,Female,Yes,Yes
284,24,33,51.57,3.57,Engineering,Male,Yes,Yes
285,22,37,86.56,2.53,Engineering,Female,No,No
286,22,27,95.48,2.36,Education,Male,Yes,No
287,20,33,92.87,3.38,Business,Male,Yes,No
288,21,4,98.23,3.24,Arts,Male,No,Yes
289,18,22,88.0,3.27,Arts,Male,No,Yes
290,21,2,72.11,2.46,Arts,Female,Yes,No
291,20,10,65.6,2.47,Engineering,Male,No,Yes
292,22,5,66.04,2.44,Business,Male,No,No
293,21,10,86.22,2.35,Education,Male,No,No
294,22,33,87.29,3.31,Science,Female,No,No
295,24,38,60.02,3.7,Science,Female,Yes,No
296,18,13,93.41,3.45,Arts,Female,Yes,No
297,24,31,85.75,3.58,Business,Female,Yes,Yes
298,22,36,78.14,2.81,Engineering,Male,No,Yes
299,22,24,73.58,3.31,Business,Male,No,Yes
300,19,15,77.16,2.71,Business,Female,No,No
301,19,29,57.96,3.05,Engineering,Male,No,No
302,24,8,60.19,2.96,Arts,Male,No,No
303,23,5,54.56,2.35,Business,Male,No,No
304,24,29,57.68,2.77,Science,Female,No,Yes
305,19,4,72.68,3.93,Engineering,Female,Yes,Yes
306,22,12,76.52,2.5,Education,Male,Yes,No
307,20,2,50.89,2.27,Arts,Female,No,No
308,24,27,89.84,2.84,Engineering,Female,No,No
309,22,31,64.71,3.58,Education,Female,No,Yes
310,20,36,95.59,3.16,Education,Female,Yes,Yes
311,20,36,98.38,3.36,Business,Female,Yes,Yes
312,19,26,59.27,2.38,Business,Male,No,No
313,24,27,73.1,3.24,Business,Female,No,No
314,21,5,50.06,2.65,Engineering,Male,Yes,Yes
315,18,20,79.92,3.67,Engineering,Male,Yes,No
316,19,11,80.37,3.26,Arts,Female,Yes,Yes
317,19,10,62.38,2.4,Business,Male,Yes,No
318,21,38,77.92,2.13,Education,Male,No,Yes
319,18,6,61.28,2.09,Science,Male,Yes,No
320,22,8,58.04,2.74,Arts,Female,Yes,Yes
321,23,23,82.58,2.53,Engineering,Female,No,Yes
322,24,26,66.3,3.29,Arts,Male,Yes,Yes
323,23,12,79.51,3.0,Arts,Female,Yes,Yes
324,22,26,71.66,2.53,Arts,Female,Yes,Yes
325,19,13,99.22,2.3,Arts,Female,No,Yes
326,18,18,57.48,2.25,Science,Female,Yes,No
327,19,25,73.23,3.73,Business,Male,No,No
328,20,33,84.02,2.49,Education,Male,No,No
329,19,12,69.78,3.3,Arts,Female,Yes,Yes
330,19,36,98.73,3.62,Arts,Female,Yes,Yes
331,22,4,86.09,3.23,Arts,Male,Yes,No
332,22,5,82.85,3.72,Business,Male,Yes,Yes
333,22,37,87.85,2.78,Engineering,Female,No,Yes
334,23,8,97.63,3.91,Engineering,Male,Yes,Yes
335,20,28,95.39,2.27,Science,Female,Yes,Yes
336,22,31,86.21,2.2,Engineering,Female,Yes,Yes
337,18,9,87.46,3.32,Arts,Male,No,No
338,23,29,57.3,3.89,Arts,Male,Yes,No
339,21,14,55.14,3.62,Arts,Female,Yes,No
340,18,22,78.55,2.15,Science,Female,No,No
341,24,11,50.92,2.56,Arts,Male,No,No
342,24,23,74.12,3.86,Engineering,Female,Yes,Yes
343,18,1,60.52,2.51,Business,Male,Yes,Yes
344,22,37,67.3,3.56,Business,Female,Yes,Yes
345,21,21,88.79,3.65,Education,Male,Yes,Yes
346,21,26,97.06,2.99,Engineering,Male,Yes,No
347,23,36,53.62,2.77,Arts,Male,No,No
348,21,23,76.71,2.9,Business,Female,No,No
349,24,1,94.13,2.45,Engineering,Female,Yes,Yes
350,20,15,54.13,3.78,Business,Male,Yes,No
351,22,21,91.23,2.9,Arts,Female,No,Yes
352,21,9,67.89,3.76,Business,Male,Yes,No
353,23,9,66.1,2.21,Education,Male,Yes,No
354,24,10,98.87,3.98,Education,Female,Yes,Yes
355,20,26,60.04,2.89,Business,Female,Yes,Yes
356,19,35,84.66,2.1,Engineering,Male,Yes,No
357,19,25,91.07,2.08,Engineering,Female,No,No
358,20,26,52.06,3.49,Engineering,Female,Yes,Yes
359,24,11,83.52,3.32,Business,Male,Yes,No
360,23,38,97.58,3.6,Engineering,Male,Yes,No
361,20,2,56.21,2.21,Arts,Female,No,Yes
362,22,7,94.81,2.07,Education,Male,No,No
363,22,18,79.74,3.02,Arts,Male,No,Yes
364,19,27,80.83,2.78,Engineering,Female,No,No
365,21,34,80.65,2.92,Arts,Male,Yes,Yes
366,23,27,64.94,3.98,Engineering,Male,No,No
367,19,17,96.76,3.94,Business,Female,Yes,Yes
368,21,24,97.37,3.88,Arts,Female,Yes,No
369,21,25,81.27,3.57,Business,Male,No,Yes
370,22,7,89.17,2.71,Business,Male,No,No
371,24,6,80.61,2.82,Science,Female,No,No
372,18,24,74.22,3.1,Engineering,Female,No,No
373,24,33,83.04,3.66,Education,Female,No,No
374,18,29,77.65,2.14,Engineering,Female,Yes,No
375,20,22,79.87,2.85,Education,Male,No,No
376,22,26,89.19,2.17,Engineering,Female,No,No
377,21,28,74.05,3.03,Business,Female,No,No
378,23,21,52.04,3.8,Arts,Male,Yes,No
379,18,7,58.2,3.56,Arts,Female,No,Yes
380,24,17,71.93,2.46,Science,Male,Yes,Yes
381,21,20,86.24,3.95,Education,Female,No,No
382,18,20,79.66,3.33,Education,Female,No,Yes
383,18,22,82.51,2.02,Education,Female,Yes,No
384,18,28,73.96,2.51,Business,Male,No,No
385,23,7,80.79,2.52,Education,Male,Yes,Yes
386,22,1,66.45,2.14,Arts,Female,Yes,No
387,23,32,73.51,3.92,Business,Male,Yes,No
388,19,13,87.21,2.96,Engineering,Male,No,Yes
389,21,30,93.59,3.79,Education,Male,No,Yes
390,22,23,71.68,2.64,Education,Male,No,No
391,22,19,52.18,2.25,Engineering,Male,Yes,Yes
392,22,32,58.08,2.95,Education,Male,No,Yes
393,24,30,51.04,2.23,Engineering,Female,Yes,No
394,22,29,82.66,2.97,Business,Female,No,Yes
395,23,29,66.62,3.84,Arts,Male,Yes,Yes
396,22,30,77.12,3.04,Engineering,Female,Yes,No
397,20,16,74.66,3.23,Science,Female,Yes,Yes
398,21,19,54.08,2.31,Engineering,Female,No,Yes
399,22,18,70.16,2.09,Education,Female,Yes,No
400,21,1,61.03,2.22,Business,Male,Yes,No
401,20,14,70.92,3.2,Business,Female,Yes,No
402,20,2,60.18,2.19,Engineering,Female,Yes,Yes
403,21,28,92.02,2.75,Arts,Male,Yes,No
404,18,30,58.71,3.1,Science,Male,Yes,No
405,19,38,98.04,2.78,Business,Female,No,Yes
406,24,4,70.8,2.33,Education,Female,No,No
407,18,1,92.31,2.55,Education,Female,Yes,No
408,18,8,81.44,3.86,Arts,Female,No,No
409,23,29,86.77,3.35,Business,Female,No,No
410,24,39,88.39,2.99,Engineering,Female,Yes,Yes
411,24,3,75.24,2.03,Education,Male,Yes,No
412,18,32,77.17,3.98,Arts,Female,Yes,No
413,22,10,75.7,3.34,Business,Female,No,Yes
414,23,10,79.4,2.63,Business,Male,Yes,No
415,23,19,51.47,3.76,Business,Male,No,Yes
416,20,34,69.78,2.52,Business,Male,Yes,Yes
417,24,33,80.31,3.09,Business,Male,No,Yes
418,18,23,79.89,3.27,Education,Female,Yes,No
419,20,28,89.65,2.44,Arts,Female,Yes,Yes
420,21,32,82.75,3.96,Business,Female,No,Yes
421,19,7,99.61,3.5,Science,Female,No,Yes
422,23,29,64.19,3.12,Science,Female,No,No
423,21,8,67.96,2.36,Arts,Female,No,No
424,21,1,69.19,2.11,Engineering,Male,No,No
425,22,3,73.29,2.64,Engineering,Female,No,No
426,19,24,91.8,3.51,Engineering,Male,Yes,No
427,21,23,61.79,2.54,Science,Male,No,No
428,21,8,88.8,3.08,Engineering,Female,Yes,No
429,19,37,70.27,3.46,Education,Male,Yes,Yes
430,19,3,80.09,2.22,Business,Female,No,Yes
431,21,33,81.63,3.37,Science,Male,Yes,Yes
432,19,28,68.64,2.18,Arts,Female,No,Yes
433,21,8,75.63,3.93,Arts,Male,No,No
434,21,34,70.65,2.98,Business,Female,Yes,Yes
435,22,35,53.46,2.3,Science,Female,Yes,Yes
436,18,32,71.86,2.68,Engineering,Female,No,Yes
437,21,24,54.87,2.83,Engineering,Female,No,Yes
438,20,14,70.25,3.52,Education,Female,Yes,No
439,23,32,79.65,3.49,Education,Male,Yes,No
440,24,16,78.97,3.22,Engineering,Male,Yes,No
441,18,4,83.13,2.21,Arts,Male,Yes,Yes
442,18,37,54.76,2.3,Arts,Female,No,No
443,18,21,82.61,2.19,Education,Male,No,Yes
444,22,14,65.61,3.15,Business,Female,No,No
445,21,31,69.95,3.75,Engineering,Female,No,No
446,22,18,92.9,2.87,Education,Male,Yes,No
447,21,7,50.45,2.32,Education,Male,Yes,No
448,22,10,79.42,3.12,Engineering,Female,No,No
449,22,7,79.94,3.62,Engineering,Male,No,Yes
450,23,33,69.83,3.48,Arts,Female,No,No
451,20,23,61.85,3.76,Business,Female,No,Yes
452,22,21,61.73,2.56,Business,Female,No,Yes
453,23,19,94.19,2.39,Engineering,Female,No,Yes
454,19,19,72.1,3.76,Science,Female,No,Yes
455,20,36,66.54,3.32,Education,Male,No,Yes
456,22,29,72.44,2.62,Education,Male,No,No
457,24,18,83.47,3.48,Engineering,Female,Yes,No
458,18,2,57.29,3.63,Science,Female,No,No
459,19,1,72.47,3.23,Arts,Male,Yes,No
460,19,5,79.39,3.38,Engineering,Male,Yes,Yes
461,23,20,97.43,2.75,Engineering,Female,No,No
462,19,11,62.63,3.08,Education,Male,No,No
463,20,2,67.96,3.05,Engineering,Female,Yes,Yes
464,22,3,68.97,3.7,Engineering,Male,Yes,Yes
465,22,23,80.28,3.68,Engineering,Female,No,No
466,24,12,67.84,3.67,Education,Male,Yes,No
467,18,20,76.68,2.02,Arts,Female,No,Yes
468,23,5,89.09,3.5,Arts,Male,No,No
469,18,37,85.27,3.52,Engineering,Male,No,No
470,19,38,72.32,3.36,Education,Female,Yes,No
471,24,30,93.21,3.51,Arts,Male,Yes,No
472,18,9,77.91,3.68,Arts,Female,No,Yes
473,20,34,77.0,2.94,Arts,Male,Yes,Yes
474,22,35,51.71,3.0,Education,Female,Yes,Yes
475,19,22,99.33,2.25,Education,Male,Yes,No
476,24,24,56.15,2.77,Engineering,Female,Yes,No
477,18,17,61.56,3.29,Business,Male,Yes,No
478,23,10,52.58,3.56,Arts,Female,Yes,No
479,20,30,82.0,2.43,Business,Male,Yes,No
480,20,23,61.24,2.28,Education,Female,No,Yes
481,18,32,59.0,3.33,Education,Female,Yes,No
482,22,17,54.43,2.0,Education,Female,Yes,No
483,18,17,55.17,2.36,Business,Male,Yes,Yes
484,19,14,79.23,2.06,Education,Female,Yes,No
485,18,9,84.41,2.33,Engineering,Male,Yes,Yes
486,20,2,69.87,2.36,Education,Female,Yes,Yes
487,24,25,73.99,2.78,Science,Male,Yes,Yes
488,18,39,84.3,2.8,Business,Female,Yes,Yes
489,22,9,50.87,3.75,Science,Male,No,Yes
490,24,22,66.16,3.02,Education,Male,Yes,No
491,23,4,98.65,3.45,Engineering,Female,Yes,Yes
492,21,26,79.01,2.21,Arts,Male,Yes,Yes
493,18,29,62.71,2.45,Education,Male,Yes,No
494,22,34,76.09,3.41,Engineering,Female,No,No
495,24,23,67.13,2.11,Business,Male,No,Yes
496,22,37,76.61,2.97,Science,Male,No,No
497,23,11,56.29,3.2,Science,Male,No,No
498,20,6,56.64,3.2,Science,Female,No,Yes
499,22,18,57.18,2.05,Business,Male,No,Yes
500,24,21,96.99,2.64,Engineering,Female,No,No
