Data,Temperatura,Humidade
10/01/2023 18:00:00 -03:00,27.4,82.5
10/01/2023 19:00:00 -03:00,27.3,81.4
10/01/2023 20:00:00 -03:00,27.1,82.4
10/01/2023 21:00:00 -03:00,26.8,84.7
10/01/2023 22:00:00 -03:00,26.4,86.6
10/01/2023 23:00:00 -03:00,26,88
11/01/2023 00:00:00 -03:00,26.2,86.3
11/01/2023 01:00:00 -03:00,26.4,85.6
11/01/2023 02:00:00 -03:00,26.4,85.7
11/01/2023 03:00:00 -03:00,25.7,87.8
11/01/2023 04:00:00 -03:00,24.3,95.6
11/01/2023 05:00:00 -03:00,23.9,97.3
11/01/2023 06:00:00 -03:00,24.1,97.8
11/01/2023 07:00:00 -03:00,25,94.1
11/01/2023 08:00:00 -03:00,27.4,85
11/01/2023 09:00:00 -03:00,29,77
11/01/2023 10:00:00 -03:00,29,74.8
11/01/2023 11:00:00 -03:00,28.8,74.7
11/01/2023 12:00:00 -03:00,29,73.2
11/01/2023 13:00:00 -03:00,29.9,70.1
11/01/2023 14:00:00 -03:00,29.7,71
11/01/2023 15:00:00 -03:00,29.7,71.5
11/01/2023 16:00:00 -03:00,28.9,75.3
11/01/2023 17:00:00 -03:00,27.6,78.9
11/01/2023 18:00:00 -03:00,27.2,79.6
11/01/2023 19:00:00 -03:00,27,80.7
11/01/2023 20:00:00 -03:00,27.1,82
11/01/2023 21:00:00 -03:00,27.1,80.5
11/01/2023 22:00:00 -03:00,27,81.5
11/01/2023 23:00:00 -03:00,25.8,91.6
12/01/2023 00:00:00 -03:00,26.1,89.7
12/01/2023 01:00:00 -03:00,26.2,87.4
12/01/2023 02:00:00 -03:00,26.1,87.2
12/01/2023 03:00:00 -03:00,26.4,84.3
12/01/2023 04:00:00 -03:00,26.4,83.8
12/01/2023 05:00:00 -03:00,26.4,84
12/01/2023 06:00:00 -03:00,28.1,78.1
12/01/2023 07:00:00 -03:00,28.8,75.1
12/01/2023 08:00:00 -03:00,28.1,76.9
12/01/2023 09:00:00 -03:00,29.5,73
12/01/2023 10:00:00 -03:00,29.6,72.2
12/01/2023 11:00:00 -03:00,30.2,69.6
12/01/2023 12:00:00 -03:00,30.8,68
12/01/2023 13:00:00 -03:00,30.2,68.7
12/01/2023 14:00:00 -03:00,30.8,67.5
12/01/2023 15:00:00 -03:00,30.1,70.2
12/01/2023 16:00:00 -03:00,29.2,74.1
12/01/2023 17:00:00 -03:00,27.8,78.7
12/01/2023 18:00:00 -03:00,27.2,82.1
12/01/2023 19:00:00 -03:00,27.1,83
12/01/2023 20:00:00 -03:00,27.1,83.9
12/01/2023 21:00:00 -03:00,27.1,84.5
12/01/2023 22:00:00 -03:00,27.2,84.6
12/01/2023 23:00:00 -03:00,27.2,85.9
13/01/2023 00:00:00 -03:00,26.9,86.2
13/01/2023 01:00:00 -03:00,26.7,86.9
13/01/2023 02:00:00 -03:00,26.5,86.6
13/01/2023 03:00:00 -03:00,25.8,90
13/01/2023 04:00:00 -03:00,24.2,96.5
13/01/2023 05:00:00 -03:00,24,98.1
13/01/2023 06:00:00 -03:00,26,90.9
13/01/2023 07:00:00 -03:00,28.8,80.6
13/01/2023 08:00:00 -03:00,29.6,75.6
13/01/2023 09:00:00 -03:00,30.8,71.3
13/01/2023 10:00:00 -03:00,30.6,71.9
13/01/2023 11:00:00 -03:00,30.6,72.5
13/01/2023 12:00:00 -03:00,30.8,71.1
13/01/2023 13:00:00 -03:00,30.8,71.6
13/01/2023 14:00:00 -03:00,30.3,73.2
13/01/2023 15:00:00 -03:00,29.9,75
13/01/2023 16:00:00 -03:00,28.4,79.7
13/01/2023 17:00:00 -03:00,27.8,82.1
13/01/2023 18:00:00 -03:00,27.6,83.6
13/01/2023 19:00:00 -03:00,27.3,84.2
13/01/2023 20:00:00 -03:00,27.3,83.4
13/01/2023 21:00:00 -03:00,27,84.3
13/01/2023 22:00:00 -03:00,27,84.2
13/01/2023 23:00:00 -03:00,27,84.9
14/01/2023 00:00:00 -03:00,26.9,84.6
14/01/2023 01:00:00 -03:00,26.9,84.6
14/01/2023 02:00:00 -03:00,26.7,84.3
14/01/2023 03:00:00 -03:00,25.2,94
14/01/2023 04:00:00 -03:00,24.4,98.5
14/01/2023 05:00:00 -03:00,24.8,97.6
14/01/2023 06:00:00 -03:00,27.5,84.1
14/01/2023 07:00:00 -03:00,27,88.7
14/01/2023 08:00:00 -03:00,29.3,79.2
14/01/2023 09:00:00 -03:00,29.2,77.1
14/01/2023 10:00:00 -03:00,30,73.2
14/01/2023 11:00:00 -03:00,30.4,70.9
14/01/2023 12:00:00 -03:00,30.4,70.5
14/01/2023 13:00:00 -03:00,30.5,70.3
14/01/2023 14:00:00 -03:00,30.2,71
14/01/2023 15:00:00 -03:00,29.1,74.9
14/01/2023 16:00:00 -03:00,28.4,77.1
14/01/2023 17:00:00 -03:00,27.8,80.2
14/01/2023 18:00:00 -03:00,27.4,81.6
14/01/2023 19:00:00 -03:00,27.1,83
14/01/2023 20:00:00 -03:00,27.1,83.7
14/01/2023 21:00:00 -03:00,27.1,81.3
14/01/2023 22:00:00 -03:00,27.2,81.8
14/01/2023 23:00:00 -03:00,26.9,84.3
15/01/2023 00:00:00 -03:00,24.4,94.7
15/01/2023 01:00:00 -03:00,23.5,98
15/01/2023 02:00:00 -03:00,23.4,98.9
15/01/2023 03:00:00 -03:00,23.1,99
15/01/2023 04:00:00 -03:00,23.1,99
15/01/2023 05:00:00 -03:00,23.2,99
15/01/2023 06:00:00 -03:00,23.3,99
15/01/2023 07:00:00 -03:00,25.4,91.9
15/01/2023 08:00:00 -03:00,28.6,80.3
15/01/2023 09:00:00 -03:00,29.9,71.5
15/01/2023 10:00:00 -03:00,30.5,67.4
15/01/2023 11:00:00 -03:00,30.9,65.7
15/01/2023 14:00:00 -03:00,29.1,71.7
15/01/2023 15:00:00 -03:00,29,70.8
15/01/2023 16:00:00 -03:00,29.1,71.4
15/01/2023 17:00:00 -03:00,27,80.1
15/01/2023 18:00:00 -03:00,26.3,84.6
15/01/2023 19:00:00 -03:00,26.2,87.1
15/01/2023 20:00:00 -03:00,26.1,90.1
15/01/2023 21:00:00 -03:00,25.3,93.6
15/01/2023 22:00:00 -03:00,24.4,96.9
15/01/2023 23:00:00 -03:00,24,98.6
16/01/2023 00:00:00 -03:00,23.3,99
16/01/2023 01:00:00 -03:00,22.9,99
16/01/2023 02:00:00 -03:00,22.6,99
16/01/2023 03:00:00 -03:00,22.4,99
16/01/2023 04:00:00 -03:00,22.4,99
16/01/2023 05:00:00 -03:00,23.1,99
16/01/2023 06:00:00 -03:00,23.7,99
16/01/2023 07:00:00 -03:00,25.7,93.2
16/01/2023 08:00:00 -03:00,28.5,80.7
16/01/2023 09:00:00 -03:00,28.7,78
16/01/2023 10:00:00 -03:00,28.2,78.7
16/01/2023 11:00:00 -03:00,29.5,73.4
16/01/2023 12:00:00 -03:00,29.6,72.7
16/01/2023 13:00:00 -03:00,30,70.6
16/01/2023 14:00:00 -03:00,29.7,71
16/01/2023 15:00:00 -03:00,28.9,73.4
16/01/2023 16:00:00 -03:00,28.1,76.2
16/01/2023 17:00:00 -03:00,27.4,80.2
16/01/2023 18:00:00 -03:00,27,81.9
16/01/2023 19:00:00 -03:00,26.8,82.4
16/01/2023 20:00:00 -03:00,26.3,85.9
16/01/2023 21:00:00 -03:00,25,93.3
16/01/2023 22:00:00 -03:00,25.1,92.4
16/01/2023 23:00:00 -03:00,25.2,93
17/01/2023 00:00:00 -03:00,24.3,95.9
17/01/2023 01:00:00 -03:00,23.8,97.2
17/01/2023 02:00:00 -03:00,23.5,98.3
17/01/2023 03:00:00 -03:00,23,99
17/01/2023 04:00:00 -03:00,22.8,99
17/01/2023 05:00:00 -03:00,23.2,99
17/01/2023 06:00:00 -03:00,25.9,91.9
17/01/2023 07:00:00 -03:00,28,84.6
17/01/2023 08:00:00 -03:00,28.7,78.9
17/01/2023 09:00:00 -03:00,29.7,75.9
17/01/2023 10:00:00 -03:00,30,75.4
17/01/2023 12:00:00 -03:00,28.6,78.2
17/01/2023 13:00:00 -03:00,29.2,75.1
17/01/2023 14:00:00 -03:00,28.7,75.7
17/01/2023 15:00:00 -03:00,29,76.6
17/01/2023 16:00:00 -03:00,28.3,78.8
17/01/2023 17:00:00 -03:00,25.8,91.8
17/01/2023 18:00:00 -03:00,25.6,91.4
17/01/2023 19:00:00 -03:00,24.9,97.1
17/01/2023 20:00:00 -03:00,24.6,98.6
17/01/2023 21:00:00 -03:00,24.5,97.9
17/01/2023 22:00:00 -03:00,24.2,99
17/01/2023 23:00:00 -03:00,23.8,99
18/01/2023 00:00:00 -03:00,23.9,99
18/01/2023 01:00:00 -03:00,24,99
18/01/2023 02:00:00 -03:00,23.9,99
18/01/2023 03:00:00 -03:00,23.8,99
18/01/2023 04:00:00 -03:00,23.6,99
18/01/2023 05:00:00 -03:00,23.8,99
18/01/2023 06:00:00 -03:00,25.7,93.9
18/01/2023 07:00:00 -03:00,28.9,79.6
18/01/2023 08:00:00 -03:00,29.1,78.7
18/01/2023 09:00:00 -03:00,27.8,87.1
18/01/2023 10:00:00 -03:00,28.1,83.9
18/01/2023 11:00:00 -03:00,26.8,90.5
18/01/2023 12:00:00 -03:00,27.2,87.4
18/01/2023 13:00:00 -03:00,27.2,88.8
18/01/2023 14:00:00 -03:00,25.2,94.5
18/01/2023 15:00:00 -03:00,23.7,98.4
19/01/2023 11:00:00 -03:00,28.9,80.9
19/01/2023 12:00:00 -03:00,28.9,79.8
19/01/2023 13:00:00 -03:00,29.2,80.2
19/01/2023 14:00:00 -03:00,29.6,77.7
19/01/2023 15:00:00 -03:00,29.1,78.5
19/01/2023 16:00:00 -03:00,28.6,79.7
19/01/2023 17:00:00 -03:00,27.4,84
19/01/2023 18:00:00 -03:00,27,85.5
19/01/2023 19:00:00 -03:00,26.6,87.1
19/01/2023 20:00:00 -03:00,26.5,88.9
19/01/2023 21:00:00 -03:00,26.7,87.2
19/01/2023 22:00:00 -03:00,25.2,95.1
19/01/2023 23:00:00 -03:00,24.7,95.9
20/01/2023 00:00:00 -03:00,23.5,99
20/01/2023 01:00:00 -03:00,23.3,99
20/01/2023 02:00:00 -03:00,23,99
20/01/2023 03:00:00 -03:00,22.7,99
20/01/2023 04:00:00 -03:00,22.5,99
20/01/2023 05:00:00 -03:00,22.8,99
20/01/2023 06:00:00 -03:00,23.8,98.8
20/01/2023 07:00:00 -03:00,27,89.9
20/01/2023 08:00:00 -03:00,29.9,72.5
20/01/2023 09:00:00 -03:00,30.3,69.3
20/01/2023 10:00:00 -03:00,30.4,69.5
20/01/2023 11:00:00 -03:00,30.3,69
20/01/2023 12:00:00 -03:00,30.8,64.3
20/01/2023 13:00:00 -03:00,31,64
20/01/2023 14:00:00 -03:00,30.5,67.4
20/01/2023 15:00:00 -03:00,30.3,68.1
20/01/2023 16:00:00 -03:00,29.1,73.5
20/01/2023 17:00:00 -03:00,27.5,79.4
20/01/2023 18:00:00 -03:00,27,80.5
20/01/2023 19:00:00 -03:00,26.8,81.4
20/01/2023 20:00:00 -03:00,26.6,83
20/01/2023 21:00:00 -03:00,26.6,84.1
20/01/2023 22:00:00 -03:00,26.1,85.6
20/01/2023 23:00:00 -03:00,25.9,87
21/01/2023 00:00:00 -03:00,24.2,94.4
21/01/2023 01:00:00 -03:00,23.2,98.1
21/01/2023 02:00:00 -03:00,22.8,99
21/01/2023 03:00:00 -03:00,22.6,99
21/01/2023 04:00:00 -03:00,22.3,99
21/01/2023 05:00:00 -03:00,22.2,99
21/01/2023 06:00:00 -03:00,24,95.3
21/01/2023 07:00:00 -03:00,28,82.5
21/01/2023 08:00:00 -03:00,29.9,72.8
21/01/2023 09:00:00 -03:00,30.3,71.2
21/01/2023 10:00:00 -03:00,30.7,69.4
21/01/2023 11:00:00 -03:00,30.9,69
21/01/2023 12:00:00 -03:00,31,70.5
21/01/2023 13:00:00 -03:00,30.5,72.6
21/01/2023 14:00:00 -03:00,30.1,73.1
21/01/2023 15:00:00 -03:00,30,72
21/01/2023 16:00:00 -03:00,29.2,76.1
21/01/2023 17:00:00 -03:00,27.8,80.8
21/01/2023 18:00:00 -03:00,27.3,81.8
21/01/2023 19:00:00 -03:00,27.2,83.2
21/01/2023 20:00:00 -03:00,27.2,84
21/01/2023 21:00:00 -03:00,27.2,84.4
21/01/2023 22:00:00 -03:00,27,84.3
21/01/2023 23:00:00 -03:00,26.5,85.8
22/01/2023 00:00:00 -03:00,25.5,90.8
22/01/2023 01:00:00 -03:00,23.9,97.2
22/01/2023 02:00:00 -03:00,23.4,98.8
22/01/2023 03:00:00 -03:00,23.4,99
22/01/2023 04:00:00 -03:00,23,99
22/01/2023 05:00:00 -03:00,23,99
22/01/2023 06:00:00 -03:00,24.7,94.8
22/01/2023 07:00:00 -03:00,27.6,84.9
22/01/2023 08:00:00 -03:00,29.8,74.7
22/01/2023 09:00:00 -03:00,30.4,71.3
22/01/2023 10:00:00 -03:00,31.3,69.2
22/01/2023 11:00:00 -03:00,30.5,73.7
22/01/2023 12:00:00 -03:00,31,71.7
22/01/2023 13:00:00 -03:00,30.8,73.1
22/01/2023 14:00:00 -03:00,30.4,74.5
22/01/2023 15:00:00 -03:00,30.4,72.8
22/01/2023 16:00:00 -03:00,29.7,76.6
22/01/2023 17:00:00 -03:00,28.2,82.1
22/01/2023 18:00:00 -03:00,27.7,84
22/01/2023 19:00:00 -03:00,27.5,85.2
23/01/2023 09:00:00 -03:00,30.9,72.2
23/01/2023 10:00:00 -03:00,31,71.5
23/01/2023 11:00:00 -03:00,31.2,70.7
23/01/2023 12:00:00 -03:00,31.3,71.2
23/01/2023 13:00:00 -03:00,31.2,72.7
23/01/2023 14:00:00 -03:00,30,74.9
23/01/2023 15:00:00 -03:00,29.9,75.2
23/01/2023 16:00:00 -03:00,28.7,79.1
23/01/2023 17:00:00 -03:00,28,81.3
23/01/2023 18:00:00 -03:00,27.6,82.2
23/01/2023 19:00:00 -03:00,27.6,82.8
23/01/2023 20:00:00 -03:00,27.5,82.4
23/01/2023 21:00:00 -03:00,27.4,83
23/01/2023 22:00:00 -03:00,27.2,82.6
23/01/2023 23:00:00 -03:00,27.3,83.1
24/01/2023 00:00:00 -03:00,27,84.7
24/01/2023 01:00:00 -03:00,26.3,88.9
24/01/2023 02:00:00 -03:00,24.1,97.9
24/01/2023 03:00:00 -03:00,23.7,99
24/01/2023 04:00:00 -03:00,23.9,99
24/01/2023 05:00:00 -03:00,24,99
24/01/2023 06:00:00 -03:00,25.2,98.2
24/01/2023 07:00:00 -03:00,28.2,83.7
24/01/2023 08:00:00 -03:00,30.2,72.2
24/01/2023 11:00:00 -03:00,30.6,69.3
24/01/2023 12:00:00 -03:00,30.8,67.7
24/01/2023 13:00:00 -03:00,31.4,64.2
24/01/2023 14:00:00 -03:00,30.6,70.7
24/01/2023 15:00:00 -03:00,29.6,73.9
24/01/2023 16:00:00 -03:00,29.2,72
24/01/2023 17:00:00 -03:00,27.9,78.7
24/01/2023 18:00:00 -03:00,27.5,80.5
24/01/2023 19:00:00 -03:00,27.4,78.8
24/01/2023 20:00:00 -03:00,27.3,78.8
24/01/2023 21:00:00 -03:00,27,80.4
24/01/2023 22:00:00 -03:00,26.9,80.6
24/01/2023 23:00:00 -03:00,26.6,81.1
25/01/2023 00:00:00 -03:00,26.3,82.2
25/01/2023 01:00:00 -03:00,25.8,83.5
25/01/2023 02:00:00 -03:00,25.4,85.2
25/01/2023 03:00:00 -03:00,23.5,94.4
25/01/2023 04:00:00 -03:00,22.7,97.2
25/01/2023 05:00:00 -03:00,22.5,98.2
25/01/2023 06:00:00 -03:00,25.2,88.5
25/01/2023 07:00:00 -03:00,28.1,76
25/01/2023 08:00:00 -03:00,28.5,73.2
25/01/2023 09:00:00 -03:00,29.8,67.1
25/01/2023 10:00:00 -03:00,30.1,66.3
25/01/2023 11:00:00 -03:00,30.4,64.8
25/01/2023 12:00:00 -03:00,30.3,65.6
25/01/2023 13:00:00 -03:00,30.5,65.2
25/01/2023 14:00:00 -03:00,30.2,66
25/01/2023 15:00:00 -03:00,30.2,64.2
25/01/2023 16:00:00 -03:00,29.6,68.2
25/01/2023 17:00:00 -03:00,27.8,73.4
25/01/2023 18:00:00 -03:00,27.1,77.6
25/01/2023 19:00:00 -03:00,27,79.2
25/01/2023 20:00:00 -03:00,26.8,80.1
25/01/2023 21:00:00 -03:00,26.8,80.5
25/01/2023 22:00:00 -03:00,26.7,80.8
25/01/2023 23:00:00 -03:00,25.6,85.9
26/01/2023 00:00:00 -03:00,23.7,95.2
26/01/2023 01:00:00 -03:00,23.1,97.2
26/01/2023 02:00:00 -03:00,22.8,97.4
26/01/2023 03:00:00 -03:00,23,96.4
26/01/2023 04:00:00 -03:00,22.7,98.1
26/01/2023 05:00:00 -03:00,22.3,99
26/01/2023 06:00:00 -03:00,24.2,93.7
26/01/2023 07:00:00 -03:00,27.9,82.5
26/01/2023 08:00:00 -03:00,29.4,76.9
26/01/2023 09:00:00 -03:00,29.9,74.7
26/01/2023 10:00:00 -03:00,30.2,72
26/01/2023 11:00:00 -03:00,30.7,70
26/01/2023 14:00:00 -03:00,31.1,68.4
26/01/2023 15:00:00 -03:00,30.2,71.9
26/01/2023 16:00:00 -03:00,29.6,73.7
26/01/2023 17:00:00 -03:00,28.1,80.1
26/01/2023 18:00:00 -03:00,27.6,82
26/01/2023 19:00:00 -03:00,27.5,81.9
26/01/2023 20:00:00 -03:00,27.6,81.6
26/01/2023 21:00:00 -03:00,27.5,82.6
26/01/2023 22:00:00 -03:00,27.5,82.6
26/01/2023 23:00:00 -03:00,27,84.4
27/01/2023 00:00:00 -03:00,26.1,90.9
27/01/2023 01:00:00 -03:00,26.4,89.7
27/01/2023 02:00:00 -03:00,25.9,90.6
27/01/2023 03:00:00 -03:00,24.8,95.6
27/01/2023 04:00:00 -03:00,24.5,97.1
27/01/2023 05:00:00 -03:00,24.2,97.1
27/01/2023 06:00:00 -03:00,26.4,90.4
27/01/2023 07:00:00 -03:00,29.7,76.5
27/01/2023 08:00:00 -03:00,30.2,74.7
27/01/2023 09:00:00 -03:00,30.5,73.8
27/01/2023 10:00:00 -03:00,30.7,73.2
27/01/2023 11:00:00 -03:00,31.1,71.6
27/01/2023 12:00:00 -03:00,31.2,71
27/01/2023 13:00:00 -03:00,31.1,70.7
27/01/2023 14:00:00 -03:00,31.3,69.4
27/01/2023 15:00:00 -03:00,30.8,70.5
27/01/2023 16:00:00 -03:00,30.2,72.2
27/01/2023 17:00:00 -03:00,28.5,78.6
27/01/2023 18:00:00 -03:00,27.8,82.8
27/01/2023 19:00:00 -03:00,27.6,84.6
27/01/2023 20:00:00 -03:00,27.5,85.3
27/01/2023 21:00:00 -03:00,27.5,84.6
27/01/2023 22:00:00 -03:00,27.7,84
27/01/2023 23:00:00 -03:00,27.3,84.9
28/01/2023 00:00:00 -03:00,26.9,86.4
28/01/2023 01:00:00 -03:00,26.7,87.8
28/01/2023 02:00:00 -03:00,27,84.2
28/01/2023 03:00:00 -03:00,27,83
28/01/2023 04:00:00 -03:00,26.7,81.6
28/01/2023 05:00:00 -03:00,26.6,81.8
28/01/2023 06:00:00 -03:00,27.8,78.1
28/01/2023 07:00:00 -03:00,28.5,74.8
28/01/2023 08:00:00 -03:00,29.6,72.3
28/01/2023 09:00:00 -03:00,29.9,71.3
28/01/2023 10:00:00 -03:00,30.5,67.5
28/01/2023 11:00:00 -03:00,30.8,63.9
28/01/2023 12:00:00 -03:00,30.6,64.7
28/01/2023 13:00:00 -03:00,30.6,63.3
28/01/2023 14:00:00 -03:00,30.3,64.8
28/01/2023 15:00:00 -03:00,30,68.5
28/01/2023 16:00:00 -03:00,29.4,69.8
28/01/2023 17:00:00 -03:00,27.9,71.8
28/01/2023 18:00:00 -03:00,27.3,74.1
28/01/2023 19:00:00 -03:00,27.2,75.6
28/01/2023 20:00:00 -03:00,26.7,77
28/01/2023 21:00:00 -03:00,26.8,77.2
28/01/2023 22:00:00 -03:00,25.9,86.2
28/01/2023 23:00:00 -03:00,24.9,93.2
29/01/2023 00:00:00 -03:00,25.3,88.1
29/01/2023 01:00:00 -03:00,25,89.6
29/01/2023 02:00:00 -03:00,23.9,95.3
29/01/2023 03:00:00 -03:00,23.1,98.8
29/01/2023 04:00:00 -03:00,22.7,99
29/01/2023 05:00:00 -03:00,22.6,99
29/01/2023 06:00:00 -03:00,24.2,94.2
29/01/2023 07:00:00 -03:00,26.4,88.3
29/01/2023 08:00:00 -03:00,28.4,78.4
29/01/2023 09:00:00 -03:00,29.9,71.8
29/01/2023 10:00:00 -03:00,30.6,69
29/01/2023 11:00:00 -03:00,30.6,69.5
29/01/2023 12:00:00 -03:00,30.5,69.4
29/01/2023 13:00:00 -03:00,31,68.6
29/01/2023 14:00:00 -03:00,30.5,68.9
29/01/2023 15:00:00 -03:00,30.3,67.5
29/01/2023 16:00:00 -03:00,29.2,73.1
29/01/2023 17:00:00 -03:00,27.8,76.8
29/01/2023 18:00:00 -03:00,27.4,80.5
29/01/2023 19:00:00 -03:00,27.2,80.9
29/01/2023 20:00:00 -03:00,27.2,83
29/01/2023 21:00:00 -03:00,27.2,82
29/01/2023 22:00:00 -03:00,27,83.4
29/01/2023 23:00:00 -03:00,27,81.8
30/01/2023 00:00:00 -03:00,26.6,82.8
30/01/2023 01:00:00 -03:00,26.3,85.7
30/01/2023 02:00:00 -03:00,26.2,84.9
30/01/2023 03:00:00 -03:00,26.4,84.8
30/01/2023 04:00:00 -03:00,26,87.2
30/01/2023 05:00:00 -03:00,25.8,89.8
30/01/2023 06:00:00 -03:00,26.1,89
30/01/2023 07:00:00 -03:00,28.3,82.2
30/01/2023 08:00:00 -03:00,29.1,77.9
30/01/2023 09:00:00 -03:00,30.2,71.8
30/01/2023 10:00:00 -03:00,30.3,70.6
30/01/2023 11:00:00 -03:00,30.8,67.9
30/01/2023 12:00:00 -03:00,30.8,69
30/01/2023 13:00:00 -03:00,30.4,71.3
30/01/2023 14:00:00 -03:00,30.5,69.5
30/01/2023 15:00:00 -03:00,30.3,68.1
30/01/2023 16:00:00 -03:00,29.4,74
30/01/2023 17:00:00 -03:00,27.9,76.9
30/01/2023 18:00:00 -03:00,27.5,78.2
30/01/2023 19:00:00 -03:00,27.4,79
30/01/2023 20:00:00 -03:00,27.3,81.2
30/01/2023 21:00:00 -03:00,27.3,81.6
30/01/2023 22:00:00 -03:00,27.4,81.4
30/01/2023 23:00:00 -03:00,27.1,81.6
31/01/2023 00:00:00 -03:00,26.9,83.2
31/01/2023 01:00:00 -03:00,26.8,81.7
31/01/2023 02:00:00 -03:00,26.8,82.8
31/01/2023 03:00:00 -03:00,26.7,83.9
31/01/2023 04:00:00 -03:00,25.9,86.4
31/01/2023 05:00:00 -03:00,24.8,92.9
31/01/2023 06:00:00 -03:00,27.3,80.7
31/01/2023 07:00:00 -03:00,28.9,74.1
