StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
82,0,21,19,56.03,2.76,Science,0,1
83,1,22,21,86.55,2.39,Science,0,0
84,0,24,5,59.63,2.96,Engineering,0,1
85,1,21,18,55.76,2.39,Education,0,0
86,1,23,28,71.09,2.33,Business,0,1
87,0,22,22,89.77,3.23,Engineering,0,1
88,1,21,21,87.25,3.05,Education,0,0
89,0,23,6,52.74,3.34,Business,1,1
90,0,24,1,72.76,3.86,Arts,1,1
91,0,20,5,76.12,3.06,Business,0,0
92,0,24,12,82.23,3.16,Science,0,1
93,0,21,26,82.51,2.18,Science,1,0
94,0,22,34,68.23,3.44,Arts,1,1
95,0,19,14,78.03,2.8,Engineering,1,1
96,0,21,26,74.05,3.95,Education,1,1
97,0,19,27,94.25,3.65,Business,0,1
98,0,23,9,76.51,3.04,Science,1,1
99,0,20,26,72.05,2.25,Engineering,0,1
100,1,18,22,70.22,3.72,Arts,0,1
101,1,24,30,78.62,3.6,Science,0,1
102,0,20,17,90.2,2.37,Arts,1,0
103,0,21,26,76.92,2.59,Business,1,0
104,0,19,36,83.08,3.59,Education,0,1
105,0,24,1,86.89,2.37,Science,0,1
106,0,19,8,76.01,3.84,Science,0,0
107,0,22,35,71.34,2.85,Business,1,1
108,0,19,15,93.83,2.17,Engineering,0,1
109,0,22,22,70.88,3.63,Education,1,0
110,1,23,14,73.1,2.75,Science,0,1
111,0,24,26,99.52,3.05,Education,0,1
112,1,24,28,50.01,2.22,Science,0,0
113,0,18,23,59.27,2.01,Education,1,1
114,0,21,14,69.2,3.28,Arts,1,1
115,1,22,24,96.63,3.03,Science,0,0
116,0,18,2,53.5,3.19,Education,1,1
117,1,19,26,50.47,3.59,Engineering,0,0
118,0,19,14,52.63,3.29,Arts,1,1
119,0,18,7,54.43,2.35,Arts,1,1
120,1,24,3,51.88,2.72,Engineering,1,0
121,0,19,23,73.99,3.81,Education,0,0
122,1,23,18,79.04,3.54,Business,1,1
123,0,23,38,63.58,3.11,Engineering,1,0
124,1,18,35,69.91,2.51,Education,0,0
125,1,22,15,54.58,2.6,Engineering,0,1
126,0,22,25,66.82,3.46,Engineering,0,1
127,0,18,37,76.13,3.7,Science,0,1
128,1,22,28,86.61,3.34,Education,1,0
129,0,24,10,50.17,3.62,Business,1,0
130,0,24,39,73.37,3.53,Science,1,0
131,0,22,17,64.85,2.3,Engineering,1,0
132,1,23,39,92.64,2.85,Engineering,1,1
133,1,22,22,85.78,2.31,Engineering,0,0
134,1,24,26,79.46,2.47,Education,1,1
135,1,20,25,63.86,3.74,Education,1,0
136,1,21,17,95.52,2.95,Science,1,1
137,1,19,13,52.26,3.07,Business,0,1
138,1,20,20,55.47,2.36,Science,0,1
139,1,22,25,69.58,2.62,Arts,1,0
140,1,23,4,56.22,2.46,Engineering,0,1
141,0,18,10,97.82,2.41,Engineering,0,1
142,1,22,3,89.9,3.28,Engineering,0,0
143,0,23,18,62.95,2.51,Science,0,1
144,0,21,36,79.43,3.26,Science,0,0
145,0,22,22,99.12,2.12,Engineering,0,0
146,1,24,34,94.21,2.28,Science,0,1
147,1,18,8,80.04,2.55,Education,1,1
148,1,23,19,95.19,3.19,Education,1,0
149,1,23,37,99.46,3.35,Science,0,1
150,0,23,6,87.17,2.89,Engineering,1,0
151,1,21,26,53.25,2.89,Science,1,0
152,1,22,34,70.08,3.45,Science,0,0
153,1,21,6,91.89,2.03,Science,1,1
154,1,19,37,61.53,2.68,Arts,0,0
155,1,19,33,91.53,3.64,Education,0,1
156,0,22,22,56.02,3.21,Business,0,1
157,1,24,21,52.35,2.67,Business,1,1
158,0,21,6,69.2,3.81,Arts,1,1
159,1,18,6,51.84,3.55,Science,1,0
160,0,23,4,97.86,2.53,Arts,1,1
161,1,23,30,91.31,3.29,Arts,0,0
162,1,22,11,90.04,3.19,Engineering,0,0
163,0,24,30,81.49,2.8,Education,1,1
164,0,19,31,60.82,2.73,Business,0,0
165,0,19,24,75.91,2.69,Science,0,0
166,1,23,9,79.86,3.23,Business,1,1
167,0,22,3,76.25,2.88,Business,0,0
168,1,21,31,63.01,3.66,Education,1,0
169,1,19,37,75.76,3.34,Business,0,0
170,0,21,36,74.56,2.14,Business,1,0
171,0,24,24,99.82,3.28,Arts,0,1
172,1,19,31,94.87,2.54,Education,0,0
173,1,19,6,73.17,3.19,Engineering,1,0
174,0,20,2,81.15,3.36,Science,1,0
175,0,19,20,87.39,2.46,Business,1,0
176,0,18,28,51.74,2.91,Science,1,1
177,1,22,11,94.75,2.38,Engineering,0,0
178,1,22,4,93.01,2.1,Science,0,1
179,1,21,15,72.87,2.76,Engineering,1,0
180,1,24,6,69.56,2.73,Arts,0,1
181,1,19,30,63.65,3.99,Business,1,1
182,1,18,38,73.83,2.89,Engineering,1,1
183,0,21,2,52.22,2.67,Science,0,1
184,1,20,15,92.61,3.16,Business,0,1
185,1,21,11,51.77,2.18,Arts,1,0
186,1,21,8,66.45,3.92,Business,1,0
187,0,19,26,96.58,3.27,Engineering,1,0
188,1,20,5,86.76,3.51,Arts,0,1
189,1,21,6,64.07,2.34,Science,0,0
190,0,18,26,62.63,2.82,Arts,0,1
191,1,18,4,50.25,2.85,Arts,0,1
192,1,22,19,84.79,3.64,Education,1,0
193,1,20,20,52.44,2.0,Arts,1,0
194,1,20,33,76.63,2.6,Arts,1,1
195,1,22,20,98.11,3.96,Business,1,1
196,0,21,12,55.47,2.95,Science,1,0
197,0,20,1,94.72,2.77,Business,1,0
198,0,18,26,99.57,2.24,Business,0,0
199,1,18,14,53.08,3.95,Engineering,0,0
200,1,19,38,94.15,2.04,Business,1,1
201,1,20,37,75.8,3.47,Education,1,0
202,0,21,11,95.33,3.54,Education,0,0
203,1,22,36,78.57,2.49,Engineering,0,0
204,1,22,13,83.11,3.34,Science,0,1
205,0,21,3,77.19,2.19,Science,0,1
206,1,24,33,93.22,2.51,Business,1,1
207,0,23,6,86.7,3.58,Business,1,1
208,0,19,10,76.06,3.73,Business,1,0
209,0,22,5,93.41,3.22,Science,1,1
210,1,20,23,62.26,3.01,Arts,1,0
211,1,19,10,57.87,2.32,Education,0,0
212,1,20,2,58.02,2.13,Arts,1,0
213,1,24,13,66.7,2.24,Arts,0,0
214,1,18,2,61.93,2.45,Science,1,1
215,1,19,20,96.5,2.68,Arts,1,1
216,1,22,1,55.29,2.76,Engineering,1,1
217,0,19,37,84.95,2.69,Business,1,0
218,1,19,9,59.46,2.48,Engineering,1,0
219,0,19,17,94.08,3.02,Education,0,0
220,1,23,9,98.07,3.65,Business,0,0
221,1,19,11,73.27,2.56,Arts,0,0
222,1,20,15,93.95,3.88,Education,1,1
223,0,18,24,50.26,3.75,Business,1,0
224,0,24,38,91.0,2.32,Arts,0,1
225,0,21,35,61.43,3.57,Engineering,1,0
226,0,19,30,95.44,3.15,Business,1,0
227,1,22,31,50.06,3.13,Arts,0,1
228,0,19,5,77.81,2.78,Engineering,1,1
229,1,22,14,87.83,3.0,Education,0,0
230,1,20,11,62.93,2.79,Education,1,0
231,0,22,9,59.66,3.08,Education,0,0
232,0,21,34,54.2,3.26,Education,1,0
233,0,18,12,66.32,3.35,Science,1,1
234,0,22,35,77.99,3.06,Business,0,0
235,0,22,35,55.79,3.44,Business,1,1
236,0,18,1,68.83,2.28,Science,1,0
237,0,21,22,50.45,2.42,Arts,0,1
238,0,19,29,90.93,3.64,Arts,1,1
239,1,22,8,56.42,2.65,Education,0,0
240,0,18,11,64.17,2.05,Engineering,1,1
241,0,20,37,50.92,2.31,Arts,1,0
242,1,18,14,71.61,2.45,Engineering,1,1
243,0,20,30,92.01,3.91,Business,1,0
244,1,21,35,69.61,3.15,Engineering,0,1
245,1,19,21,58.97,3.87,Business,1,0
246,0,18,37,87.68,3.15,Science,0,0
247,1,24,5,89.44,2.96,Science,1,1
248,1,24,19,58.69,2.63,Education,1,1
249,1,23,14,88.54,3.21,Arts,1,1
250,1,22,26,97.36,2.28,Education,1,1
251,0,21,4,58.32,3.8,Business,0,0
252,1,18,25,88.55,3.66,Education,0,1
253,0,24,25,85.43,2.64,Engineering,0,0
254,1,22,18,73.68,3.91,Business,0,1
255,1,24,8,52.9,3.65,Science,1,0
256,1,18,39,53.73,3.33,Arts,0,0
257,1,20,14,92.62,2.24,Business,0,0
258,0,18,32,99.51,2.96,Business,1,0
259,0,23,38,83.8,3.01,Engineering,1,1
260,1,18,33,72.3,2.47,Arts,1,1
261,1,18,23,82.38,2.16,Science,1,0
262,0,23,15,79.72,3.55,Business,0,1
263,1,21,33,69.18,2.24,Business,0,1
264,1,18,25,53.28,3.19,Engineering,1,0
265,1,23,17,91.08,3.87,Education,1,1
266,0,22,33,68.59,3.75,Science,1,1
267,0,20,2,90.94,2.56,Arts,0,1
268,0,20,14,62.63,3.7,Business,0,0
269,1,18,39,50.05,2.0,Business,1,1
270,1,21,6,57.95,2.04,Science,1,0
271,0,21,6,73.43,3.21,Education,0,1
272,0,22,3,97.22,2.73,Business,1,1
273,0,18,7,55.11,2.77,Science,1,1
274,0,20,8,92.71,3.13,Engineering,0,0
275,1,21,15,76.35,2.38,Education,1,0
276,0,18,29,91.3,2.42,Arts,0,1
277,1,24,33,64.92,2.97,Business,1,0
278,0,21,30,92.0,3.51,Science,1,1
279,1,23,39,88.64,3.24,Engineering,0,0
280,0,24,27,61.5,2.59,Arts,0,0
281,0,21,36,56.57,2.86,Science,1,1
282,0,20,29,93.4,2.34,Science,0,1
283,0,19,38,98.16,2.15,Arts,1,1
284,1,24,33,51.57,3.57,Engineering,1,1
285,0,22,37,86.56,2.53,Engineering,0,0
286,1,22,27,95.48,2.36,Education,1,0
287,1,20,33,92.87,3.38,Business,1,0
288,1,21,4,98.23,3.24,Arts,0,1
289,1,18,22,88.0,3.27,Arts,0,1
290,0,21,2,72.11,2.46,Arts,1,0
291,1,20,10,65.6,2.47,Engineering,0,1
292,1,22,5,66.04,2.44,Business,0,0
293,1,21,10,86.22,2.35,Education,0,0
294,0,22,33,87.29,3.31,Science,0,0
295,0,24,38,60.02,3.7,Science,1,0
296,0,18,13,93.41,3.45,Arts,1,0
297,0,24,31,85.75,3.58,Business,1,1
298,1,22,36,78.14,2.81,Engineering,0,1
299,1,22,24,73.58,3.31,Business,0,1
300,0,19,15,77.16,2.71,Business,0,0
301,1,19,29,57.96,3.05,Engineering,0,0
302,1,24,8,60.19,2.96,Arts,0,0
303,1,23,5,54.56,2.35,Business,0,0
304,0,24,29,57.68,2.77,Science,0,1
305,0,19,4,72.68,3.93,Engineering,1,1
306,1,22,12,76.52,2.5,Education,1,0
307,0,20,2,50.89,2.27,Arts,0,0
308,0,24,27,89.84,2.84,Engineering,0,0
309,0,22,31,64.71,3.58,Education,0,1
310,0,20,36,95.59,3.16,Education,1,1
311,0,20,36,98.38,3.36,Business,1,1
312,1,19,26,59.27,2.38,Business,0,0
313,0,24,27,73.1,3.24,Business,0,0
314,1,21,5,50.06,2.65,Engineering,1,1
315,1,18,20,79.92,3.67,Engineering,1,0
316,0,19,11,80.37,3.26,Arts,1,1
317,1,19,10,62.38,2.4,Business,1,0
318,1,21,38,77.92,2.13,Education,0,1
319,1,18,6,61.28,2.09,Science,1,0
320,0,22,8,58.04,2.74,Arts,1,1
321,0,23,23,82.58,2.53,Engineering,0,1
322,1,24,26,66.3,3.29,Arts,1,1
323,0,23,12,79.51,3.0,Arts,1,1
324,0,22,26,71.66,2.53,Arts,1,1
325,0,19,13,99.22,2.3,Arts,0,1
326,0,18,18,57.48,2.25,Science,1,0
327,1,19,25,73.23,3.73,Business,0,0
328,1,20,33,84.02,2.49,Education,0,0
329,0,19,12,69.78,3.3,Arts,1,1
330,0,19,36,98.73,3.62,Arts,1,1
331,1,22,4,86.09,3.23,Arts,1,0
332,1,22,5,82.85,3.72,Business,1,1
333,0,22,37,87.85,2.78,Engineering,0,1
334,1,23,8,97.63,3.91,Engineering,1,1
335,0,20,28,95.39,2.27,Science,1,1
336,0,22,31,86.21,2.2,Engineering,1,1
337,1,18,9,87.46,3.32,Arts,0,0
338,1,23,29,57.3,3.89,Arts,1,0
339,0,21,14,55.14,3.62,Arts,1,0
340,0,18,22,78.55,2.15,Science,0,0
341,1,24,11,50.92,2.56,Arts,0,0
342,0,24,23,74.12,3.86,Engineering,1,1
343,1,18,1,60.52,2.51,Business,1,1
344,0,22,37,67.3,3.56,Business,1,1
345,1,21,21,88.79,3.65,Education,1,1
346,1,21,26,97.06,2.99,Engineering,1,0
347,1,23,36,53.62,2.77,Arts,0,0
348,0,21,23,76.71,2.9,Business,0,0
349,0,24,1,94.13,2.45,Engineering,1,1
350,1,20,15,54.13,3.78,Business,1,0
351,0,22,21,91.23,2.9,Arts,0,1
352,1,21,9,67.89,3.76,Business,1,0
353,1,23,9,66.1,2.21,Education,1,0
354,0,24,10,98.87,3.98,Education,1,1
355,0,20,26,60.04,2.89,Business,1,1
356,1,19,35,84.66,2.1,Engineering,1,0
357,0,19,25,91.07,2.08,Engineering,0,0
358,0,20,26,52.06,3.49,Engineering,1,1
359,1,24,11,83.52,3.32,Business,1,0
360,1,23,38,97.58,3.6,Engineering,1,0
361,0,20,2,56.21,2.21,Arts,0,1
362,1,22,7,94.81,2.07,Education,0,0
363,1,22,18,79.74,3.02,Arts,0,1
364,0,19,27,80.83,2.78,Engineering,0,0
365,1,21,34,80.65,2.92,Arts,1,1
366,1,23,27,64.94,3.98,Engineering,0,0
367,0,19,17,96.76,3.94,Business,1,1
368,0,21,24,97.37,3.88,Arts,1,0
369,1,21,25,81.27,3.57,Business,0,1
370,1,22,7,89.17,2.71,Business,0,0
371,0,24,6,80.61,2.82,Science,0,0
372,0,18,24,74.22,3.1,Engineering,0,0
373,0,24,33,83.04,3.66,Education,0,0
374,0,18,29,77.65,2.14,Engineering,1,0
375,1,20,22,79.87,2.85,Education,0,0
376,0,22,26,89.19,2.17,Engineering,0,0
377,0,21,28,74.05,3.03,Business,0,0
378,1,23,21,52.04,3.8,Arts,1,0
379,0,18,7,58.2,3.56,Arts,0,1
380,1,24,17,71.93,2.46,Science,1,1
381,0,21,20,86.24,3.95,Education,0,0
382,0,18,20,79.66,3.33,Education,0,1
383,0,18,22,82.51,2.02,Education,1,0
384,1,18,28,73.96,2.51,Business,0,0
385,1,23,7,80.79,2.52,Education,1,1
386,0,22,1,66.45,2.14,Arts,1,0
387,1,23,32,73.51,3.92,Business,1,0
388,1,19,13,87.21,2.96,Engineering,0,1
389,1,21,30,93.59,3.79,Education,0,1
390,1,22,23,71.68,2.64,Education,0,0
391,1,22,19,52.18,2.25,Engineering,1,1
392,1,22,32,58.08,2.95,Education,0,1
393,0,24,30,51.04,2.23,Engineering,1,0
394,0,22,29,82.66,2.97,Business,0,1
395,1,23,29,66.62,3.84,Arts,1,1
396,0,22,30,77.12,3.04,Engineering,1,0
397,0,20,16,74.66,3.23,Science,1,1
398,0,21,19,54.08,2.31,Engineering,0,1
399,0,22,18,70.16,2.09,Education,1,0
400,1,21,1,61.03,2.22,Business,1,0
401,0,20,14,70.92,3.2,Business,1,0
402,0,20,2,60.18,2.19,Engineering,1,1
403,1,21,28,92.02,2.75,Arts,1,0
404,1,18,30,58.71,3.1,Science,1,0
405,0,19,38,98.04,2.78,Business,0,1
406,0,24,4,70.8,2.33,Education,0,0
407,0,18,1,92.31,2.55,Education,1,0
408,0,18,8,81.44,3.86,Arts,0,0
409,0,23,29,86.77,3.35,Business,0,0
410,0,24,39,88.39,2.99,Engineering,1,1
411,1,24,3,75.24,2.03,Education,1,0
412,0,18,32,77.17,3.98,Arts,1,0
413,0,22,10,75.7,3.34,Business,0,1
414,1,23,10,79.4,2.63,Business,1,0
415,1,23,19,51.47,3.76,Business,0,1
416,1,20,34,69.78,2.52,Business,1,1
417,1,24,33,80.31,3.09,Business,0,1
418,0,18,23,79.89,3.27,Education,1,0
419,0,20,28,89.65,2.44,Arts,1,1
420,0,21,32,82.75,3.96,Business,0,1
421,0,19,7,99.61,3.5,Science,0,1
422,0,23,29,64.19,3.12,Science,0,0
423,0,21,8,67.96,2.36,Arts,0,0
424,1,21,1,69.19,2.11,Engineering,0,0
425,0,22,3,73.29,2.64,Engineering,0,0
426,1,19,24,91.8,3.51,Engineering,1,0
427,1,21,23,61.79,2.54,Science,0,0
428,0,21,8,88.8,3.08,Engineering,1,0
429,1,19,37,70.27,3.46,Education,1,1
430,0,19,3,80.09,2.22,Business,0,1
431,1,21,33,81.63,3.37,Science,1,1
432,0,19,28,68.64,2.18,Arts,0,1
433,1,21,8,75.63,3.93,Arts,0,0
434,0,21,34,70.65,2.98,Business,1,1
435,0,22,35,53.46,2.3,Science,1,1
436,0,18,32,71.86,2.68,Engineering,0,1
437,0,21,24,54.87,2.83,Engineering,0,1
438,0,20,14,70.25,3.52,Education,1,0
439,1,23,32,79.65,3.49,Education,1,0
440,1,24,16,78.97,3.22,Engineering,1,0
441,1,18,4,83.13,2.21,Arts,1,1
442,0,18,37,54.76,2.3,Arts,0,0
443,1,18,21,82.61,2.19,Education,0,1
444,0,22,14,65.61,3.15,Business,0,0
445,0,21,31,69.95,3.75,Engineering,0,0
446,1,22,18,92.9,2.87,Education,1,0
447,1,21,7,50.45,2.32,Education,1,0
448,0,22,10,79.42,3.12,Engineering,0,0
449,1,22,7,79.94,3.62,Engineering,0,1
450,0,23,33,69.83,3.48,Arts,0,0
451,0,20,23,61.85,3.76,Business,0,1
452,0,22,21,61.73,2.56,Business,0,1
453,0,23,19,94.19,2.39,Engineering,0,1
454,0,19,19,72.1,3.76,Science,0,1
455,1,20,36,66.54,3.32,Education,0,1
456,1,22,29,72.44,2.62,Education,0,0
457,0,24,18,83.47,3.48,Engineering,1,0
458,0,18,2,57.29,3.63,Science,0,0
459,1,19,1,72.47,3.23,Arts,1,0
460,1,19,5,79.39,3.38,Engineering,1,1
461,0,23,20,97.43,2.75,Engineering,0,0
462,1,19,11,62.63,3.08,Education,0,0
463,0,20,2,67.96,3.05,Engineering,1,1
464,1,22,3,68.97,3.7,Engineering,1,1
465,0,22,23,80.28,3.68,Engineering,0,0
466,1,24,12,67.84,3.67,Education,1,0
467,0,18,20,76.68,2.02,Arts,0,1
468,1,23,5,89.09,3.5,Arts,0,0
469,1,18,37,85.27,3.52,Engineering,0,0
470,0,19,38,72.32,3.36,Education,1,0
471,1,24,30,93.21,3.51,Arts,1,0
472,0,18,9,77.91,3.68,Arts,0,1
473,1,20,34,77.0,2.94,Arts,1,1
474,0,22,35,51.71,3.0,Education,1,1
475,1,19,22,99.33,2.25,Education,1,0
476,0,24,24,56.15,2.77,Engineering,1,0
477,1,18,17,61.56,3.29,Business,1,0
478,0,23,10,52.58,3.56,Arts,1,0
479,1,20,30,82.0,2.43,Business,1,0
480,0,20,23,61.24,2.28,Education,0,1
481,0,18,32,59.0,3.33,Education,1,0
482,0,22,17,54.43,2.0,Education,1,0
483,1,18,17,55.17,2.36,Business,1,1
484,0,19,14,79.23,2.06,Education,1,0
485,1,18,9,84.41,2.33,Engineering,1,1
486,0,20,2,69.87,2.36,Education,1,1
487,1,24,25,73.99,2.78,Science,1,1
488,0,18,39,84.3,2.8,Business,1,1
489,1,22,9,50.87,3.75,Science,0,1
490,1,24,22,66.16,3.02,Education,1,0
491,0,23,4,98.65,3.45,Engineering,1,1
492,1,21,26,79.01,2.21,Arts,1,1
493,1,18,29,62.71,2.45,Education,1,0
494,0,22,34,76.09,3.41,Engineering,0,0
495,1,24,23,67.13,2.11,Business,0,1
496,1,22,37,76.61,2.97,Science,0,0
497,1,23,11,56.29,3.2,Science,0,0
498,0,20,6,56.64,3.2,Science,0,1
499,1,22,18,57.18,2.05,Business,0,1
500,0,24,21,96.99,2.64,Engineering,0,0
